pc_timestamp_ns,sender_ip,seq,timestamp_ms,acc_x_g,acc_y_g,acc_z_g
1781002794984082439,192.168.1.188,516534,5233031,1.1973,0.3198,-0.0858
1781002794993916487,192.168.1.188,516535,5233041,1.1154,0.0936,-0.0975
1781002795000554139,192.168.1.188,516536,5233051,0.9009,-0.0897,-0.0936
1781002795014660228,192.168.1.188,516537,5233061,1.0335,0.1092,-0.0546
1781002795020574387,192.168.1.188,516538,5233071,1.1154,0.2223,-0.1131
1781002795030547726,192.168.1.188,516539,5233081,1.1193,0.1053,-0.1326
1781002795040558624,192.168.1.188,516540,5233091,1.1193,0.1053,-0.1326
1781002795053324897,192.168.1.188,516541,5233101,1.0803,0.1716,-0.0936
1781002795060504682,192.168.1.188,516542,5233111,1.0023,0.1482,-0.0702
1781002795070446890,192.168.1.188,516543,5233121,0.9399,0.1092,-0.0819
1781002795081726956,192.168.1.188,516544,5233131,1.014,0.156,-0.0702
1781002795090689549,192.168.1.188,516545,5233141,1.0842,0.3705,-0.078
1781002795100620017,192.168.1.188,516546,5233151,1.2597,-0.0117,-0.2184
1781002795110586096,192.168.1.188,516547,5233161,0.8658,-0.2652,-0.0936
1781002795120636425,192.168.1.188,516548,5233171,1.0881,-0.3666,-0.2652
1781002795130607294,192.168.1.188,516549,5233181,0.4524,-0.0312,-0.0936
1781002795140639833,192.168.1.188,516550,5233191,1.0023,0.2574,-0.0312
1781002795150588702,192.168.1.188,516551,5233201,1.0413,0.2418,-0.0546
1781002795161609615,192.168.1.188,516552,5233211,0.8619,-0.0273,-0.1365
1781002795172137407,192.168.1.188,516553,5233221,0.8892,0.1053,-0.0546
1781002795180515117,192.168.1.188,516554,5233231,1.0374,0.1014,-0.0975
1781002795192159684,192.168.1.188,516555,5233241,1.0296,0.1833,-0.117
1781002795200511415,192.168.1.188,516556,5233251,0.9984,0.1794,-0.0975
1781002795210509924,192.168.1.188,516557,5233261,0.9789,0.1911,-0.0702
1781002795223591027,192.168.1.188,516558,5233271,0.9984,0.1521,-0.0897
1781002795230515081,192.168.1.188,516559,5233281,1.1037,0.0897,-0.1014
1781002795240592071,192.168.1.188,516560,5233291,1.0881,0.1326,-0.1092
1781002795250467009,192.168.1.188,516561,5233301,0.9438,-0.0351,-0.1599
1781002795262783669,192.168.1.188,516562,5233311,1.0803,-0.4914,-0.4797
1781002795270865178,192.168.1.188,516563,5233321,0.9672,-0.2223,-0.0741
1781002795280563865,192.168.1.188,516564,5233331,1.0218,-0.0234,-0.1716
1781002795292208762,192.168.1.188,516565,5233341,1.6497,-0.1248,0.0663
1781002795302142091,192.168.1.188,516566,5233351,1.2558,0.4017,-0.1326
1781002795310463891,192.168.1.188,516567,5233361,1.2441,0.1014,-0.1209
1781002795324083448,192.168.1.188,516568,5233371,0.9282,-0.0039,-0.0702
1781002795330504819,192.168.1.188,516569,5233381,1.0842,0.078,-0.0585
1781002795343323262,192.168.1.188,516570,5233391,1.0686,0.2691,-0.117
1781002795354316765,192.168.1.188,516571,5233401,1.0881,0.1404,-0.1248
1781002795361678151,192.168.1.188,516572,5233411,0.9711,0.273,-0.0897
1781002795374418333,192.168.1.188,516573,5233421,0.8931,0.0975,-0.0858
1781002795380572264,192.168.1.188,516574,5233431,1.0608,0.1053,-0.0975
1781002795394320180,192.168.1.188,516575,5233441,1.1232,0.1248,-0.0975
1781002795400460780,192.168.1.188,516576,5233451,0.7137,-0.1131,-0.0819
1781002795410410479,192.168.1.188,516577,5233461,1.5795,0.0975,0.0039
1781002795421620724,192.168.1.188,516578,5233471,0.7917,-0.2925,-0.1872
1781002795430548907,192.168.1.188,516579,5233481,1.2987,-0.078,-0.0429
1781002795440561456,192.168.1.188,516580,5233491,0.7644,-0.0195,-0.0195
1781002795450608145,192.168.1.188,516581,5233501,0.6864,0.1677,-0.0936
1781002795460718134,192.168.1.188,516582,5233511,0.8697,0.2418,-0.0507
1781002795470924444,192.168.1.188,516583,5233521,0.8385,0.0156,-0.1287
1781002795483866517,192.168.1.188,516584,5233531,1.0569,0.0975,-0.0663
1781002795490603770,192.168.1.188,516585,5233541,1.0998,0.1872,-0.1014
1781002795500661979,192.168.1.188,516586,5233551,1.0725,0.1677,-0.117
1781002795510657028,192.168.1.188,516587,5233561,0.9399,0.156,-0.0897
